2026-01-31 17:26:48 | INFO     | mini_noc | Background monitoring started
2026-01-31 17:26:48 | INFO     | mini_noc | Monitoring loop started (interval: 60s)
2026-01-31 17:28:16 | INFO     | mini_noc | Shutting down Mini NOC
2026-01-31 17:28:16 | INFO     | mini_noc | Background monitoring stopped
2026-01-31 17:28:17 | INFO     | mini_noc | Starting Mini NOC - Network Monitoring System v1.0.0
2026-01-31 17:28:17 | INFO     | mini_noc | Database initialized
2026-01-31 17:28:17 | INFO     | mini_noc | Background monitoring started
2026-01-31 17:28:17 | INFO     | mini_noc | Monitoring loop started (interval: 60s)
2026-01-31 17:29:16 | INFO     | mini_noc | Shutting down Mini NOC
2026-01-31 17:29:16 | INFO     | mini_noc | Background monitoring stopped
2026-01-31 17:29:17 | INFO     | mini_noc | Starting Mini NOC - Network Monitoring System v1.0.0
2026-01-31 17:29:17 | INFO     | mini_noc | Database initialized
2026-01-31 17:29:17 | INFO     | mini_noc | Background monitoring started
2026-01-31 17:29:17 | INFO     | mini_noc | Monitoring loop started (interval: 60s)
2026-01-31 17:29:34 | INFO     | mini_noc | Shutting down Mini NOC
2026-01-31 17:29:34 | INFO     | mini_noc | Background monitoring stopped
2026-01-31 17:29:35 | INFO     | mini_noc | Starting Mini NOC - Network Monitoring System v1.0.0
2026-01-31 17:29:35 | INFO     | mini_noc | Database initialized
2026-01-31 17:29:35 | INFO     | mini_noc | Background monitoring started
2026-01-31 17:29:35 | INFO     | mini_noc | Monitoring loop started (interval: 60s)
2026-01-31 17:31:57 | INFO     | mini_noc | Starting Mini NOC - Network Monitoring System v1.0.0
2026-01-31 17:31:57 | INFO     | mini_noc | Database initialized
2026-01-31 17:31:57 | INFO     | mini_noc | Background monitoring started
2026-01-31 17:31:57 | INFO     | mini_noc | Monitoring loop started (interval: 60s)
2026-02-01 13:03:58 | INFO     | mini_noc | Shutting down Mini NOC
2026-02-01 13:03:58 | INFO     | mini_noc | Background monitoring stopped
2026-02-01 13:03:59 | INFO     | mini_noc | Starting Mini NOC - Network Monitoring System v1.0.0
2026-02-01 13:03:59 | INFO     | mini_noc | Database initialized
2026-02-01 13:03:59 | INFO     | mini_noc | Background monitoring started
2026-02-01 13:03:59 | INFO     | mini_noc | Monitoring loop started (interval: 60s)
2026-02-01 13:04:13 | INFO     | mini_noc | Shutting down Mini NOC
2026-02-01 13:04:13 | INFO     | mini_noc | Background monitoring stopped
2026-02-01 13:04:14 | INFO     | mini_noc | Starting Mini NOC - Network Monitoring System v1.0.0
2026-02-01 13:04:14 | INFO     | mini_noc | Database initialized
2026-02-01 13:04:14 | INFO     | mini_noc | Background monitoring started
2026-02-01 13:04:14 | INFO     | mini_noc | Monitoring loop started (interval: 60s)
2026-02-01 13:04:32 | INFO     | mini_noc | Shutting down Mini NOC
2026-02-01 13:04:32 | INFO     | mini_noc | Background monitoring stopped
2026-02-01 13:04:33 | INFO     | mini_noc | Starting Mini NOC - Network Monitoring System v1.0.0
2026-02-01 13:04:33 | INFO     | mini_noc | Database initialized
2026-02-01 13:04:33 | INFO     | mini_noc | Background monitoring started
2026-02-01 13:04:33 | INFO     | mini_noc | Monitoring loop started (interval: 60s)
2026-02-01 13:04:41 | INFO     | mini_noc | Shutting down Mini NOC
2026-02-01 13:04:41 | INFO     | mini_noc | Background monitoring stopped
2026-02-01 13:04:54 | INFO     | mini_noc | Starting Mini NOC - Network Monitoring System v1.0.0
2026-02-01 13:04:54 | INFO     | mini_noc | Database initialized
2026-02-01 13:04:54 | INFO     | mini_noc | Background monitoring started
2026-02-01 13:04:54 | INFO     | mini_noc | Monitoring loop started (interval: 60s)
2026-02-01 16:40:34 | INFO     | mini_noc | Shutting down Mini NOC
2026-02-01 16:40:34 | INFO     | mini_noc | Background monitoring stopped
2026-02-01 16:40:35 | INFO     | mini_noc | Starting Mini NOC - Network Monitoring System v1.0.0
2026-02-01 16:40:35 | INFO     | mini_noc | Database initialized
2026-02-01 16:40:35 | INFO     | mini_noc | Background monitoring started
2026-02-01 16:40:35 | INFO     | mini_noc | Monitoring loop started (interval: 60s)
2026-02-01 16:41:36 | INFO     | mini_noc | Shutting down Mini NOC
2026-02-01 16:41:36 | INFO     | mini_noc | Background monitoring stopped
2026-02-01 16:41:37 | INFO     | mini_noc | Starting Mini NOC - Network Monitoring System v1.0.0
2026-02-01 16:41:37 | INFO     | mini_noc | Database initialized
2026-02-01 16:41:37 | INFO     | mini_noc | Background monitoring started
2026-02-01 16:41:37 | INFO     | mini_noc | Monitoring loop started (interval: 60s)
2026-02-01 16:41:38 | INFO     | mini_noc | Shutting down Mini NOC
2026-02-01 16:41:38 | INFO     | mini_noc | Background monitoring stopped
2026-02-01 16:41:41 | INFO     | mini_noc | Starting Mini NOC - Network Monitoring System v1.0.0
