2026-01-31 17:09:20 | INFO     | scanner | Starting subnet discovery: 192.168.1.179/24
2026-01-31 17:09:20 | INFO     | scanner | Starting scan of 192.168.1.179/24 (254 hosts)
2026-01-31 17:10:00 | INFO     | scanner | Scan complete: 4/254 hosts reachable in 39.50s
2026-01-31 17:10:00 | INFO     | scanner | NEW: 192.168.1.1 (RTKGW.bbrouter) latency=0.0ms loss=0%
2026-01-31 17:10:00 | INFO     | scanner | NEW: 192.168.1.3 (V2413.bbrouter) latency=8.0ms loss=0%
2026-01-31 17:10:05 | INFO     | scanner | NEW: 192.168.1.6 (no hostname) latency=0.0ms loss=0%
2026-01-31 17:10:05 | INFO     | scanner | NEW: 192.168.1.2 (moto-pad-60-pro.bbrouter) latency=419.0ms loss=0%
2026-01-31 17:10:05 | INFO     | scanner | Discovery complete: 4 new, 0 updated, 250 unreachable
2026-01-31 17:10:34 | INFO     | scanner | Discovered 192.168.1.2: MAC=None, Vendor=None, OS=Windows, Ports=0
2026-01-31 17:10:42 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 17:10:42 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 17:10:43 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:10:43 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:10:46 | INFO     | scanner | Health check complete: 4/4 UP
2026-01-31 17:10:46 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 1 alerts in 3.19s
2026-01-31 17:11:46 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:11:46 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:11:50 | INFO     | scanner | Health check complete: 3/4 UP
2026-01-31 17:11:50 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 0 alerts in 4.62s
2026-01-31 17:12:01 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 17:12:01 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 17:12:02 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 17:12:02 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 17:12:02 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:12:02 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:12:06 | INFO     | scanner | Health check complete: 4/4 UP
2026-01-31 17:12:06 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 0 alerts in 3.29s
2026-01-31 17:13:06 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 17:13:06 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 17:13:07 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:13:07 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:13:10 | INFO     | scanner | Health check complete: 4/4 UP
2026-01-31 17:13:10 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 0 alerts in 3.28s
2026-01-31 17:13:40 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 17:13:40 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 17:13:40 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:13:40 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:13:44 | INFO     | scanner | Health check complete: 4/4 UP
2026-01-31 17:13:44 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 0 alerts in 3.55s
2026-01-31 17:13:55 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 17:13:55 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 17:14:21 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 17:14:21 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 17:15:53 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 17:15:53 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 17:16:43 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 17:16:43 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 17:16:44 | WARNING  | scanner | pysnmp not available - SNMP polling disabled
2026-01-31 17:16:44 | WARNING  | scanner | SNMPPoller initialized but pysnmp is not installed
2026-01-31 17:16:44 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:16:44 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:16:47 | INFO     | scanner | Health check complete: 4/4 UP
2026-01-31 17:16:47 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 0 alerts in 3.14s
2026-01-31 17:17:47 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:17:47 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:17:52 | INFO     | scanner | Health check complete: 3/4 UP
2026-01-31 17:17:52 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 0 alerts in 4.89s
2026-01-31 17:18:52 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:18:52 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:18:56 | INFO     | scanner | Health check complete: 4/4 UP
2026-01-31 17:18:56 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 0 alerts in 3.38s
2026-01-31 17:19:56 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:19:56 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:19:59 | INFO     | scanner | Health check complete: 4/4 UP
2026-01-31 17:19:59 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 0 alerts in 3.37s
2026-01-31 17:20:59 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:20:59 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:21:02 | INFO     | scanner | Health check complete: 4/4 UP
2026-01-31 17:21:02 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 0 alerts in 3.14s
2026-01-31 17:22:02 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:22:02 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:22:06 | INFO     | scanner | Health check complete: 4/4 UP
2026-01-31 17:22:06 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 0 alerts in 3.40s
2026-01-31 17:23:06 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:23:06 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:23:09 | INFO     | scanner | Health check complete: 4/4 UP
2026-01-31 17:23:09 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 0 alerts in 3.25s
2026-01-31 17:24:09 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:24:09 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:24:12 | INFO     | scanner | Health check complete: 4/4 UP
2026-01-31 17:24:12 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 0 alerts in 3.15s
2026-01-31 17:25:12 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:25:12 | INFO     | scanner | Health check on 4 devices
2026-01-31 17:25:16 | INFO     | scanner | Health check complete: 4/4 UP
2026-01-31 17:25:16 | INFO     | scanner | Health check complete: 4 UP, 0 DOWN, 0 DEGRADED, 0 alerts in 3.38s
2026-01-31 17:26:16 | INFO     | scanner | Starting health check on 4 devices
2026-01-31 17:26:16 | INFO     | scanner | Health check on 4 devices
